Country ISO code;BvD ID number;NACE Rev. 2 primary code;GUO - Country ISO code;GUO - BvD ID number;Result OP Revenue;Result - EMPl;Result - assets;Result P/L
DE;DE2150520405;4742;DE;DE2270002593;5515549;41;268938;-97010
DE;DE2150923381;4321;DE;DE2270002593;2118689;9;97910;95127
DE;DE2151415607;4321;DE;DE2270002593;1103106;7;32952;14332
DE;DE2190297348;4321;DE;DE2270002593;5036176;27;125417;305456
DE;DE2230174062;4321;DE;DE2270002593;3001997;16;67624;21529
DE;DE2390375888;4321;DE;DE2270002593;3642503;27;68541;302824
DE;DE2390376088;4321;DE;DE2270002593;12218054;82;190603;668290
DE;DE2390417800;6311;DE;DE2270002593;3203341;15;129249;35015
PL;PL932230081;4774;DE;DE2270062827;6722492;25;1208287;573731
DE;DE3070007369;3900;DE;DE2270143998;30730287;173;10057874;2124645
PL;PL810966307;4675;DE;DE2270148041;87757885;50;1260036;2618776
DE;DE2270118372;5000;DE;DE2270249828;10781722;78;751367;81841
DE;DE2290201603;2670;DE;DE2290005139;2107322;7;8874;48378
ES;ESB65650822;2790;DE;DE2290005139;607998;3;32783;-142332
CZ;CZ27301222;4672;DE;DE2290008567;5813737;23;34519;351214
DE;DE2290003243;2892;DE;DE2290070832;29160048;28;4521799;3805794
GB;GB08028799;3900;DE;DE2290178241;6199702;2;1612;48487
DE;DE2090152444;9609;DE;DE2290224311;12704000;55;751000;-2000
DE;DE2151413723;4638;DE;DE2290278431;68467000;17;234262;3922914
PL;PL301104376;2829;DE;DE2310000059;734018;35;1593221;-122537
BE;BE0864762522;5229;DE;DE2310004592;5346558;3;34368;23258
BE;BE0885958705;5229;DE;DE2310004592;22942294;28;63674;-139425
CZ;CZ25605666;5229;DE;DE2310004592;12997293;150;756057;-487650
ES;ESA61898870;5229;DE;DE2310004592;50031230;141;400484;-78253
PL;PL639697555;1621;DE;DE2310005257;10074752;160;2216017;635074
DE;DE8170930857;1812;DE;DE2310018211;14862091;86;310357;-606593
GB;GB00116591;2594;DE;DE2310050331;6705575;60;1507847;1435531
ES;ESA08319857;4674;DE;DE2310057302;2371833;8;70280;129725
FR;FR419621834;4669;DE;DE2310057302;6266932;36;222907;129894
DE;DE2310255611;4741;DE;DE2310063315;1164802;26;34757;-133468
DE;DE7170303237;6202;DE;DE2310063315;765886;3;9776;29701
