Country ISO code;BvD ID number;NACE Rev. 2 primary code;GUO - Country ISO code;GUO - BvD ID number;Result OP Revenue;Result - EMPl;Result - assets;Result P/L
FR;FR572087807;2599;n.a.;WW*20361303;11133206;85;588277;808068
FR;FR816580039;1624;n.a.;WW*20361303;4198392;36;438130;25930
FR;FR421529553;4399;n.a.;WW*20361606;1634241;18;24594;18394
FR;FR525721379;4673;n.a.;WW*20361707;12794000;34;616181;477760
FR;FR489663419;4399;n.a.;WW*20363527;1767851;6;2389;17387
FR;FR452796576;4742;n.a.;WW*20365617;1163235;1;7141;20580
FR;FR532408622;4669;n.a.;WW*20365617;1200000;1;1;17908
FR;FR400119244;2920;n.a.;WW*20367897;8703060;1;738383;52061
FR;FR413221730;4690;n.a.;WW*20367897;11168979;8;3570;-31426
FR;FR414353250;6202;n.a.;WW*20368033;46420080;350;531203;2604162
FR;FR452603673;7022;n.a.;WW*20368033;1295000;20;35839;-1032833
FR;FR495033060;7022;n.a.;WW*20368033;274000;1;158;-258386
FR;FR522493196;7022;n.a.;WW*20368033;6570000;25;1;306424
FR;FR534508759;7022;n.a.;WW*20368033;490000;1;1;19649
FR;FR400634051;5210;n.a.;WW*20370253;33944;1;125;5410
FR;FR424346591;4778;n.a.;WW*20370382;1607828;1;27987;-17985
FR;FR453800021;4779;n.a.;WW*20370382;5185;1;375878;-186844
FR;FR412780355;4519;n.a.;WW*20371008;3015955;5;44649;11288
GB;GB08873823;7022;n.a.;WW*203716195;1;1;1;-3789
GB;GB06854037;7320;n.a.;WW*203749459;4770317;1;82625;350986
FR;FR401676804;4332;n.a.;WW*20375182;1250000;1;43896;60733
FR;FR429005572;6420;n.a.;WW*20375182;1;1;1;-224202
FR;FR482584117;7112;n.a.;WW*20375182;489000;1;11438;-116364
FR;FR504741497;6420;n.a.;WW*20378147;1;1;1;-414048
FR;FR509176145;9319;n.a.;WW*20378147;150000;1;36091;-1930
FR;FR937080315;4719;n.a.;WW*20379318;680012;1;371027;45282
IE;IE027441;5510;n.a.;WW*203848364;1;1;1903206;-257484
FR;FR535011910;3832;n.a.;WW*20385853;710000;1;171789;40506
FR;FR481093359;4778;n.a.;WW*20387179;30000;1;495;209
FR;FR405260746;6420;n.a.;WW*20390606;532660;3;68346;9647
FR;FR405268764;3320;n.a.;WW*20390660;5850000;40;125413;162863
FR;FR435348610;7820;n.a.;WW*20390660;7030000;26;19675;5384
FR;FR503536245;3320;n.a.;WW*20390660;654652;2;36775;-50126
FR;FR434022620;4399;n.a.;WW*20397646;583425;2;66;-17856
FR;FR434022745;4399;n.a.;WW*20397646;906401;7;168;-58429
FR;FR423162940;6820;n.a.;WW*20398170;182543;1;1052466;91231
FR;FR410865836;2712;n.a.;WW*20403534;1963323;10;35147;53161
FR;FR350324125;5210;n.a.;WW*20403618;410000;5;11398;-56810
FR;FR480520840;1624;n.a.;WW*20406148;5794000;33;1584273;-108004
FR;FR383533296;4120;n.a.;WW*20408326;8727402;18;44767;43357
FR;FR412083776;4110;n.a.;WW*20408326;1038766;1;2905;-83194
FR;FR448997353;1623;n.a.;WW*20408326;1940632;18;180522;-117899
FR;FR498994524;4941;n.a.;WW*20417302;3507797;34;14816;15086
FR;FR409151792;2630;n.a.;WW*20417395;1998930;22;5841;-37195
FR;FR414846444;2630;n.a.;WW*20417395;9652330;85;534766;-39008
FR;FR414846642;4652;n.a.;WW*20417395;5559199;22;48622;-572995
FR;FR487626251;7112;n.a.;WW*20422210;3593044;49;109233;-143844
FR;FR487648404;7112;n.a.;WW*20422210;3326144;42;104396;170830
FR;FR494529233;4531;n.a.;WW*20424767;1121842;5;54873;2569
FR;FR306772542;5510;n.a.;WW*20428545;839787;6;421785;-21593
FR;FR789353414;6420;n.a.;WW*20429025;49432;1;512;382183
FR;FR338559453;4531;n.a.;WW*20429890;1293770;5;9303;143138
FR;FR422830323;7820;n.a.;WW*20433561;7200000;1;1581;119607
FR;FR424177335;4120;n.a.;WW*20434881;8199935;47;768305;18300
FR;FR398912675;4120;n.a.;WW*20435936;655116;5;37622;-3581
FR;FR510374622;4669;n.a.;WW*20435936;1853153;7;115287;-4942
FR;FR950309013;4674;n.a.;WW*20435936;1956268;12;68187;24419
FR;FR411445620;4511;n.a.;WW*20436039;5647771;1;5135;-10731
FR;FR402401749;1511;n.a.;WW*20437034;3925296;38;248757;6598
FR;FR300109808;3320;n.a.;WW*20437633;1626043;1;81659;131865
FR;FR323573774;2016;n.a.;WW*20439078;159176;1;16;17339
FR;FR543780332;2454;n.a.;WW*20439740;10588529;1;661346;-2541
FR;FR323532564;2370;n.a.;WW*20439997;6592322;1;124282;338513
FR;FR329969620;2370;n.a.;WW*20439997;5759000;69;52215;20875
FR;FR448595926;3299;n.a.;WW*20439997;1698392;17;64681;-24176
FR;FR632048419;4663;n.a.;WW*20440543;6989616;24;304742;271371
FR;FR312057318;4671;n.a.;WW*20441442;17080499;12;194439;400796
