GUO;Country ISO code
NO989181734;SE
NO989191349;SE
NO989690760;SE
NO990357242;DE
NO990480753;SE
NO990530378;LU
NO990644454;SE
NO990951802;SE
NO991314660;DK
NO991363025;DE
NO991500154;SE
NO991669884;SE
NO991952853;SE
NO992692383;PL
NO993585963;SE
NO994051067;NL
NO995116316;EE
NO995610698;NL
NO995873818;GB
NO995927489;SE
NO996912035;SE
NO996918122;SE
NO997713303;PL
NO998515963;SE
NO999230482;EE
NOCP2748771;DK
NZ*904674408;DE
NZ*925236936;DE
NZ0000021134;GB
NZ0000041455;GB
NZ0000583449;GB
NZ0000773823;GB
NZ0002222716;GB
NZ0009064168;GB
NZ0009784455;GB
NZ30045AN;GB
NZ30103AN;GB
NZ30172AN;GB
NZ30184AN;GB
OM*957026030;GB
OM30039GO;GB
PA*B000020145;GB
PA*B000069829;GB
PA113287RPP;GB
PA158668RPP;PT
PA175907RPP;GB
PA262418RPP;GB
PA264846RPP;GB
PA52833RPP;GB
PA597218RPP;GB
PA709241RPP;PT
PA753866RPP;GB
PA887RPP;GB
PA9631RPP;GB
PE*320014016;NL
PH*B000059315;GB
PH0000001177;GB
PH247288772L;GB
PK0000121643;GB
QA0000382478;DE
RS*570180441;LV
RU*110002250022;LV
RU*110006755062;LV
RU*110006775629;LV
RU*110006777385;LV
RU*110006811922;LV
RU*110006821016;LV
RU*110008158129;LU
RU*110008921888;LV
RU*110008922930;LV
